observation_date,CBBTCUSD
2024-08-20,59062.49
2024-08-21,61193.87
2024-08-22,60378.70
2024-08-23,64130.87
2024-08-24,64157.87
2024-08-25,64286.90
2024-08-26,62838.55
2024-08-27,59398.77
2024-08-28,59024.00
2024-08-29,59371.27
2024-08-30,59113.86
2024-08-31,58956.52
2024-09-01,57347.49
2024-09-02,59140.60
2024-09-03,57474.64
2024-09-04,57994.01
2024-09-05,56152.01
2024-09-06,53930.39
2024-09-07,54178.64
2024-09-08,57053.90
2024-09-09,57645.59
2024-09-10,57352.79
2024-09-11,58137.54
2024-09-12,60543.35
2024-09-13,60012.35
2024-09-14,59122.33
2024-09-15,58208.75
2024-09-16,60312.60
2024-09-17,61769.18
2024-09-18,62960.14
2024-09-19,63210.69
2024-09-20,63362.74
2024-09-21,63577.66
2024-09-22,63338.87
2024-09-23,64272.93
2024-09-24,63130.89
2024-09-25,65177.21
2024-09-26,65789.00
2024-09-27,65858.99
2024-09-28,65600.01
2024-09-29,63301.25
2024-09-30,60790.00
2024-10-01,60631.37
2024-10-02,60744.99
2024-10-03,62090.71
2024-10-04,62051.29
2024-10-05,62810.86
2024-10-06,62200.28
2024-10-07,62122.02
2024-10-08,60578.28
2024-10-09,60279.53
2024-10-10,62518.75
2024-10-11,63187.47
2024-10-12,62845.30
2024-10-13,66065.65
2024-10-14,67056.60
2024-10-15,67608.44
2024-10-16,67402.33
2024-10-17,68426.11
2024-10-18,68363.73
2024-10-19,69014.86
2024-10-20,67346.15
2024-10-21,67380.08
2024-10-22,66601.11
2024-10-23,68156.84
2024-10-24,66564.51
2024-10-25,67012.56
2024-10-26,67943.19
2024-10-27,69924.50
2024-10-28,72724.35
2024-10-29,72322.91
2024-10-30,70197.83
2024-10-31,69467.29
2024-11-01,69358.94
2024-11-02,68738.18
2024-11-03,67807.48
2024-11-04,69380.73
2024-11-05,75646.55
2024-11-06,75920.00
2024-11-07,76566.73
2024-11-08,76716.06
2024-11-09,80428.92
2024-11-10,88770.73
2024-11-11,88035.43
2024-11-12,90493.82
2024-11-13,87340.40
2024-11-14,91058.36
2024-11-15,90636.24
2024-11-16,89886.69
2024-11-17,90520.30
2024-11-18,92435.89
2024-11-19,94393.15
2024-11-20,98439.09
2024-11-21,99024.03
2024-11-22,97778.77
2024-11-23,98028.18
2024-11-24,93000.01
2024-11-25,91929.54
2024-11-26,95951.19
2024-11-27,95665.53
2024-11-28,97490.56
2024-11-29,96465.42
2024-11-30,97263.18
2024-12-01,95862.89
2024-12-02,95924.52
